Date,State,Confirmed Cases,Predicted Cases
2/5/2020,UT,0,2 
2/6/2020,UT,0,2 
2/7/2020,UT,0,2 
2/8/2020,UT,0,2 
2/9/2020,UT,0,2 
2/10/2020,UT,0,2 
2/11/2020,UT,0,2 
2/12/2020,UT,0,2 
2/13/2020,UT,0,2 
2/14/2020,UT,0,2 
2/15/2020,UT,0,2 
2/16/2020,UT,0,2 
2/17/2020,UT,0,2 
2/18/2020,UT,0,2 
2/19/2020,UT,0,2 
2/20/2020,UT,0,2 
2/21/2020,UT,0,2 
2/22/2020,UT,0,2 
2/23/2020,UT,0,2 
2/24/2020,UT,0,2 
2/25/2020,UT,1,2 
2/26/2020,UT,0,2 
2/27/2020,UT,0,2 
2/28/2020,UT,0,2 
2/29/2020,UT,0,2 
3/1/2020,UT,0,2 
3/2/2020,UT,0,2 
3/3/2020,UT,0,2 
3/4/2020,UT,0,2 
3/5/2020,UT,0,2 
3/6/2020,UT,2,2 
3/7/2020,UT,0,2 
3/8/2020,UT,0,2 
3/9/2020,UT,0,2 
3/10/2020,UT,1,2 
3/11/2020,UT,1,2 
3/12/2020,UT,2,2 
3/13/2020,UT,0,2 
3/14/2020,UT,14,24 
3/15/2020,UT,8,28 
3/16/2020,UT,11,32 
3/17/2020,UT,11,35 
3/18/2020,UT,14,40 
3/19/2020,UT,15,46 
3/20/2020,UT,32,51 
3/21/2020,UT,26,57 
3/22/2020,UT,44,62 
3/23/2020,UT,75,68 
3/24/2020,UT,42,76 
3/25/2020,UT,47,83 
3/26/2020,UT,56,93 
3/27/2020,UT,78,102 
3/28/2020,UT,128,112 
3/29/2020,UT,111,122 
3/30/2020,UT,87,132 
3/31/2020,UT,81,146 
4/1/2020,UT,125,161 
4/2/2020,UT,65,172 
4/3/2020,UT,171,183 
4/4/2020,UT,178,191 
4/5/2020,UT,192,196 
4/6/2020,UT,44,197 
4/7/2020,UT,75,198 
4/8/2020,UT,123,202 
4/9/2020,UT,120,207 
4/10/2020,UT,123,215 
4/11/2020,UT,105,219 
4/12/2020,UT,97,223 
4/13/2020,UT,63,230 
4/14/2020,UT,52,236 
4/15/2020,UT,129,248 
4/16/2020,UT,138,251 
4/17/2020,UT,126,260 
4/18/2020,UT,129,267 
4/19/2020,UT,129,272 
4/20/2020,UT,142,276 
4/21/2020,UT,88,286 
4/22/2020,UT,150,298 
4/23/2020,UT,170,306 
4/24/2020,UT,161,313 
4/25/2020,UT,168,321 
4/26/2020,UT,173,331 
4/27/2020,UT,113,336 
4/28/2020,UT,107,330 
4/29/2020,UT,156,335 
4/30/2020,UT,173,330 
5/1/2020,UT,157,320 
5/2/2020,UT,152,318 
5/3/2020,UT,194,315 
5/4/2020,UT,151,301 
5/5/2020,UT,123,298 
5/6/2020,UT,156,298 
5/7/2020,UT,119,301 
5/8/2020,UT,195,295 
5/9/2020,UT,184,288 
5/10/2020,UT,148,284 
5/11/2020,UT,113,280 
5/12/2020,UT,90,275 
5/13/2020,UT,170,281 
5/14/2020,UT,136,274 
5/15/2020,UT,170,269 
5/16/2020,UT,138,267 
5/17/2020,UT,170,263 
5/18/2020,UT,146,260 
5/19/2020,UT,146,260 
5/20/2020,UT,187,264 
5/21/2020,UT,159,264 
5/22/2020,UT,181,263 
5/23/2020,UT,203,262 
5/24/2020,UT,132,260 
